ID,Expression,SUCCESS,TIME,Expression_Details
sogn_s_84_39_100,x1-x2,1,2.828041315,"sub,sub,x1,sub,x2,x2,x2"
sogn_s_84_40_100,x1-x2,1,2.873691797,"add,sub,x1,x1,sub,x1,x2"
sogn_s_84_41_100,0,0,2.795292377,"sub,x1,add,mul,div,x1,add,add,x1,div,x2,x2,x2,x2,x2"
sogn_s_84_42_100,x1-x2,1,2.900093079,"add,sub,x1,x2,div,sub,x1,x1,x2"
sogn_s_84_43_100,x1-x2,1,2.815418959,"sub,x1,add,x2,sub,x2,x2"
sogn_s_84_44_100,x1-x2+x2/(x1-x2),0,2.839136839,"add,x1,add,sub,x1,add,x1,x2,div,x2,sub,x1,x2"
sogn_s_84_45_100,x1-x2+x2*(x1+x2)/(x1*(x1+2*x2)),0,2.842421293,"sub,x1,sub,x2,div,add,x2,x1,mul,x1,div,add,add,x1,x2,x2,x2"
sogn_s_84_46_100,x1-x2+(2*x1+x2)/(x1*(3*x1+x2)+x1),0,2.831686974,"sub,add,x1,div,add,x1,add,x2,x1,add,x1,mul,x1,add,add,x1,add,x1,x1,x2,x2"
sogn_s_84_47_100,x1-x2+1/x2,0,2.775331736,"add,div,x1,mul,x1,x2,sub,x1,x2"
sogn_s_84_48_100,-2*x1*x2**3+x1-x2,0,2.854516506,"sub,sub,x1,x2,mul,div,add,x2,x2,div,div,x1,x2,mul,x1,x2,x1"
sogn_s_84_49_100,x1-x2**2*(x1-x2)/(x1**2*x2-x2)-x2,0,2.826032162,"sub,x1,add,mul,sub,x1,x2,div,mul,x2,x2,sub,mul,x2,mul,x1,x1,x2,x2"
sogn_s_84_50_100,x1-x2,1,2.78565526,"sub,x2,add,x2,sub,x2,x1"
sogn_s_84_51_100,x1-x2,1,2.778013945,"add,sub,sub,x1,x2,mul,div,sub,add,x2,x1,x1,x2,x2,x2"
sogn_s_84_52_100,x1-x2,1,2.821804047,"add,x2,sub,x1,add,x2,x2"
sogn_s_84_53_100,x1-x2,1,2.911788464,"sub,x2,add,x2,sub,x2,x1"
sogn_s_84_54_100,x1-x2-x2*(x2+(x1-x2+1)/x2)/x1,0,2.857210159,"sub,x1,add,x2,mul,x2,div,add,x2,div,sub,add,div,x1,x1,x1,x2,x2,x1"
sogn_s_84_55_100,x1+x2**2/(x1-x2*(x1+x1/x2)),0,2.878563166,"add,x1,mul,x2,div,x2,sub,x1,mul,add,x1,div,x1,x2,x2"
sogn_s_84_56_100,0,0,2.841306686,"sub,sub,x1,sub,add,div,mul,x1,div,x2,div,x1,add,x1,x2,x2,x2,x1,x1"
sogn_s_84_57_100,nan,0,2.846517324,"sub,add,mul,sub,div,x1,x1,div,sub,x1,x1,sub,x2,x2,div,x1,add,x1,x2,x1,x2"
sogn_s_84_58_100,x1-x2,1,3.882004738,"sub,x1,sub,x2,div,x1,mul,x2,div,div,x2,x2,sub,x2,x2"
sogn_s_84_59_100,x1+x1/(x1*x2+x1+x2)-x2,0,2.918681383,"add,x1,sub,div,x1,add,x2,add,mul,x1,x2,x1,x2"
sogn_s_84_60_100,x1-x2+1/2,0,2.799943447,"sub,x1,sub,add,sub,x2,div,x2,add,x2,x2,x2,x2"
sogn_s_84_61_100,x1,0,2.847904682,"add,sub,sub,add,x1,mul,x2,mul,div,mul,div,x2,x2,div,x2,x2,x1,x1,x2,x1,x1"
sogn_s_84_62_100,x1-x2,1,2.860743761,"sub,sub,x1,add,sub,mul,sub,x2,x2,mul,mul,x1,sub,x1,x1,x2,x1,x2,x1"
sogn_s_84_63_100,x1-x2+x2**2/(x1*(x1**2*x2-x2**2-x2)),0,2.911935091,"sub,add,mul,div,div,x2,sub,mul,x1,mul,x1,x2,add,mul,x2,x2,x2,x1,x2,x1,x2"
sogn_s_84_64_100,x1-x2,1,2.816458702,"sub,add,mul,div,div,div,mul,sub,x2,x2,x2,x2,sub,sub,x2,x1,x2,x2,x1,x1,x2"
sogn_s_84_65_100,x1*(-x1+x2)/(-x1-x2+x2/(x2**2+x2)),0,2.853896856,"mul,sub,x2,x1,div,x1,sub,sub,mul,div,x1,mul,add,mul,x2,x2,x2,x1,x2,x1,x2"
sogn_s_84_66_100,x1+x1/(2*x1+x2)-x2,0,2.835812092,"sub,add,div,x1,add,add,x1,x2,x1,sub,x1,x1,sub,x2,x1"
sogn_s_84_67_100,x1-x2-x2/(x1-2*x2+1),0,3.855622053,"sub,x1,add,x2,div,x1,div,mul,add,sub,sub,div,x1,x1,x2,x2,x1,x1,x2"
sogn_s_84_68_100,x1-x2-(-x2**2+x2)/(x1*(-x1+x2)),0,2.825026274,"sub,x1,add,div,sub,x2,mul,x2,x2,mul,sub,x2,div,x1,div,x1,x1,x1,x2"
sogn_s_84_69_100,x1-x2,1,2.907935381,"sub,add,sub,x2,x2,x1,add,x2,sub,x2,x2"
sogn_s_84_70_100,x1-x2,1,2.88554287,"sub,x1,sub,x2,div,sub,x2,x2,mul,mul,mul,x2,sub,sub,x2,x2,x2,x1,x2"
sogn_s_84_71_100,zoo*x2**2+x1-x2,0,2.827780247,"add,sub,mul,div,x2,mul,mul,sub,x2,x2,x1,x2,x2,x2,x1"
