ID,Expression,SUCCESS,TIME,Expression_Details
sogn_x_2_35_100,x1*(x1/(-x1+2*x2)+x2),0,2.129333735,"mul,x1,sub,x1,sub,sub,x1,div,x1,add,sub,x2,x1,x2,x2"
sogn_x_2_36_100,zoo*x1*(x1-x2)+x1*x2,0,2.114746809,"add,x2,add,sub,mul,x1,x2,x2,mul,div,sub,x1,x2,sub,x1,x1,x1"
sogn_x_2_37_100,x1*x2,1,2.127662182,"mul,x1,mul,div,add,x1,sub,sub,x1,x1,sub,x1,x2,x2,x2"
sogn_x_2_38_100,x1*x2-x1/x2**2,0,2.120100498,"sub,mul,x1,x2,div,x1,mul,x2,x2"
sogn_x_2_39_100,x1*x2,1,2.188234329,"mul,add,div,div,sub,x2,x2,mul,mul,mul,x1,x1,mul,x1,sub,x1,x2,x2,x1,x2,x1"
sogn_x_2_40_100,x1*x2,1,2.081252813,"mul,x1,mul,x2,div,x2,add,sub,x2,add,sub,x1,x2,x2,x1"
sogn_x_2_41_100,x1*x2**2/(x1+x2),0,2.093792915,"mul,x2,div,x1,add,sub,div,add,x2,x1,mul,div,x2,x2,x2,x2,x2"
sogn_x_2_42_100,x1*x2,1,2.079812527,"mul,x1,sub,x2,mul,mul,sub,x1,x1,x2,x2"
sogn_x_2_43_100,x1*x2,1,2.16484952,"mul,x2,add,x1,mul,sub,x2,x2,div,x1,x1"
sogn_x_2_44_100,x1*(x2-x2/(x1*x2-2*x1+x2)),0,2.089814901,"mul,x1,sub,x2,div,x2,sub,x2,sub,x1,sub,mul,x1,x2,x1"
sogn_x_2_45_100,#DIV/0!,0,2.114967108,"sub,div,add,sub,x1,x2,sub,add,add,x2,mul,add,x1,mul,x2,x1,x2,x2,x2,x2,x1"
sogn_x_2_46_100,x1*x2**2/(-2*x1**2+x1+x2),0,2.300600529,"mul,x1,mul,x2,div,x2,add,x1,sub,x2,mul,x1,add,x1,x1"
sogn_x_2_47_100,x2*(x1+(x1/x2+(x1**2*x2+x1+x2)/x2)/x2),0,2.214056492,"mul,add,x1,div,add,div,x1,x2,div,add,x2,add,mul,mul,x1,x2,x1,x1,x2,x2,x2"
sogn_x_2_48_100,x1*(x1/x2+x2+x2**2/x1**2),0,2.227443933,"mul,x1,add,div,x1,x2,add,div,sub,div,x2,x1,sub,x1,x1,div,x1,x2,x2"
sogn_x_2_49_100,x1/(-x1+x2)-x2**2,0,2.09274745,"sub,div,x1,sub,x2,x1,mul,sub,div,x1,div,x1,add,x2,x1,x1,x2"
sogn_x_2_50_100,x1*(x2-1/(2*x1+3*x2)),0,2.104393005,"mul,x1,sub,x2,div,x2,mul,add,add,x1,x2,add,add,x2,x2,x1,x2"
sogn_x_2_51_100,x1*x2,1,2.11813879,"mul,x2,div,x2,div,x2,add,sub,x1,x2,x2"
sogn_x_2_52_100,x1*(x1/(2*x2)+x2),0,2.112621307,"add,sub,x1,x1,mul,x1,add,x2,div,div,mul,x1,x1,add,x2,x2,x1"
sogn_x_2_53_100,x1*(x2+1/2),0,2.052333355,"mul,x1,add,div,x1,add,x1,x1,x2"
sogn_x_2_54_100,x2*(-x1**2/x2+x1),0,2.113150597,"mul,x2,sub,x1,div,x1,div,x2,x1"
sogn_x_2_55_100,x1*x2**2/(-x1+x2),0,2.155310631,"mul,x1,mul,x2,div,x2,sub,x2,x1"
sogn_x_2_56_100,x1*(-x1/x2+x2),0,2.11114192,"mul,x1,sub,x1,add,x1,sub,div,x1,div,mul,x2,x2,x2,x2"
sogn_x_2_57_100,x1*x2,1,2.059313774,"mul,x1,mul,div,x1,x1,x2"
sogn_x_2_58_100,x1*x2,1,2.147866964,"add,mul,div,x2,x2,sub,sub,sub,add,x1,mul,x1,x2,x2,x2,sub,x1,x2,x2"
sogn_x_2_59_100,x1**2,0,2.22116828,"mul,sub,x1,add,x1,x2,mul,div,x1,sub,sub,x1,x2,x1,x1"
sogn_x_2_60_100,x1*x2,1,2.101444483,"mul,x2,add,x1,div,sub,x2,x2,x2"
sogn_x_2_61_100,x1*(x2+(-3*x1+2*x2)/(x1*x2**2)),0,2.164266586,"mul,x1,add,div,div,div,mul,div,add,sub,x2,add,add,x1,x1,x1,x2,x1,x2,x2,x2,x2,x2"
sogn_x_2_62_100,x2*(x1+x2**3*(x1+x2)),0,2.108192682,"mul,add,mul,x2,mul,x2,add,x2,sub,div,add,x2,x1,div,x2,mul,x2,x2,x2,x1,x2"
sogn_x_2_63_100,x1*x2,1,2.103649855,"mul,x1,add,x2,mul,sub,x2,x2,x2"
sogn_x_2_64_100,x1*x2**2/(x2-x2/(x1+x2)),0,2.166081667,"sub,add,mul,x1,mul,x2,div,x2,sub,x2,div,x2,add,x2,x1,x2,x2"
sogn_x_2_65_100,x1*x2-1/2,0,2.057682753,"sub,add,mul,x1,x2,x1,add,x1,div,x2,add,x2,x2"
sogn_x_2_66_100,x1*x2,1,2.091993332,"add,x1,sub,add,x2,mul,x2,x1,add,x2,x1"
sogn_x_2_67_100,x2*(x1-2*x2/(2*x1+3*x2)),0,2.155998468,"mul,sub,x1,mul,x2,div,add,x1,x1,mul,add,add,add,x1,add,x2,x2,x1,x2,x1,x2"
sogn_x_2_68_100,x2*(x1+x1/x2),0,2.104679346,"mul,x2,add,x1,div,x1,x2"
sogn_x_2_69_100,x1*x2+x1/x2,0,2.093619347,"add,mul,x1,x2,div,x1,x2"
sogn_x_2_70_100,x1*x2,1,2.116336107,"mul,x2,sub,x2,sub,x2,add,x1,mul,sub,x2,x2,x2"
sogn_x_2_71_100,x1*(x2-x2**2/x1)+1/x1,0,2.169046402,"add,sub,add,mul,x1,sub,x2,div,x2,div,x1,x2,div,div,x2,x1,x2,x2,x2"
sogn_x_2_72_100,x1*x2,1,2.104204416,"mul,div,div,mul,mul,sub,x1,div,sub,x2,x2,div,sub,add,div,x1,x2,x1,x2,x2,x1,x2,x1,x1,x1"
sogn_x_2_73_100,x1*(x2+1),0,2.045315266,"mul,mul,x2,x1,div,add,x2,div,x2,sub,add,div,x1,div,x2,x2,x2,x1,x2"
sogn_x_2_74_100,x1*x2,1,2.102555037,"mul,x1,add,x2,sub,x2,x2"
sogn_x_2_75_100,x1*x2,1,2.096160173,"mul,x2,div,mul,x2,mul,x1,x2,sub,add,mul,x1,x2,mul,x2,x2,mul,x1,x2"
